AGEID;AGE
0;
1;64 года
2;38 лет
3;35 лет
4;72 года
5;80 лет
6;34 года
7;53 года
8;33 года
9;40 лет
10;63 года (68 лет)
11;51 год
12;17 лет
13;45 лет
14;26 (27) лет
15;60 лет
16;42 года
17;65 лет
18;46 лет
19;23 года
20;50 лет
21;63 года
22;73 года
23;67 лет
24;58 лет
25;27 лет
26;51 год (55, 60 лет)
27;59 лет
28;57 (60) лет
29;48 лет
30;26 (29) лет
31;39 лет
32;56 лет
33;52 года (58 лет)
34;25 лет
35;51 год (48, 49 лет)
36;58 (60) лет
37;54 года
38;20 лет
39;52 года
40;55 лет
41;24 года
42;37 лет
43;41 год (45 лет)
44;47 лет
45;41 год
46;27(28) лет
47;68 (69) лет
48;49 лет
49;44 года (46 лет)
50;76 (79) лет
51;44 года
52;51 год (60 лет)
53;28 лет
54;70 лет
55;32 года
56;57 лет
57;30 лет
58;75 лет
59;83 года
60;69 лет
61;66 лет
62;62 года
63;43 года (45 лет)
64;63 года (66 лет)
65;31 год
66;36 лет
67;26 лет
68;46 (50) лет
69;22 года
70;29 лет
71;61 год
72;63 года (65 лет)
73;43 года
74;68 лет
75;56 (66) лет
76;59 (69) лет
77;64 года (70 лет)
78;35(38) лет
79;81 год
80;57 (58) лет
81;55 (56) лет
82;55 (57) лет
83;79 лет
84;44 года (45 лет)
85;61 год (65 лет)
86;76 лет
87;77 лет
88;46 (49) лет
89;32 года (39 лет)
90;54 (64) года
91;53 (54) года
92;38 лет (41 год)
93;39 (58) лет
94;55 (65) лет
95;30 лет (32 года)
96;45 (47) лет
97;67(68) лет
98;23 года (26 лет)
99;37 (39) лет
100;45 (50) лет
101;50 лет (51 год)
102;52 года (57, 60 лет)
103;19 лет
104;78 лет
105;70 (77) лет
106;47 лет (51 год)
107;63 года (67 лет)
108;18 лет
109;64 года (65 лет)
110;74 года (76 лет)
111;66(68) лет
112;69 (75) лет
113;82 года
114;49 лет (62 года)
115;61 год (67 лет)
116;41 год (42 года)
117;60 (65) лет
118;47 (48) лет
