ARESTORGANID;ARESTORGAN
0;
1;КБ ОО ОГПУ.
2;НКВД КБАССР.
3;КРО КБОО.
4;КРО КБОО ОГПУ.
5;НКВД КБАССР в ауле Аксай, ДАССР.
6;НКВД КБАССР
7;ОО УГБ НКВД РФСР по Азербайджанской ССР.
8;постановлением народной милиции Катханова КАО
9;ОГПУ КБАО
10;в Москве.
11;ОГПУ.
12;(16.04.1931)
13;Каббалкотделом ОГПУ
14;КБОО ОГПУ.
15;(16.04.1931) ОГПУ
16;НКВД.
17;Нагорным РО НКВД.
18;УНКВД КБАССР.
19;ОГПУ
20;Баксанским РО НКВД.
21;(27.01.1931) ОГПУ.
22;КБО ОГПУ.
23;Басанским РО НКВД.
24;Баксанским РО НКВД
25;органами НКВД
26;органами ОГПУ
27;(24.10.1930) ОГПУ.
28;(24.12.1930)
29;органами НКВД.
30;КБО ОГПУ
31;постановлением КБОО ОГПУ
32;СПО КБОО ОГПУ.
33;постановлением КБОО ОГПУ.
34;ТО ОГПУ.
35;постановлением ОО КБОО ОГПУ.
36;ТОО ОГПУ.
37;Прималкинским РО НКВД КБАССР.
38;ОО ОГПУ.
39;ОГПУ, 27.01.1931г.
40;НКВД КБАССР в г. Орджоникидзе.
41;УГБ НКВД.
42;УНКВД по КБАССР.
43;Нагорным РО НКВД КБАССР.
44;Урванским РО НКВД.
45;(16.04.1931г.).
46;Кировобадским НКВД.
47;Баксанским РО НКВД КБАССР.
48;Терским РО НКВД.
49;Баксанским РОМ НКВД.
50;(29.09.1931)
51;органами НКВД КБАССР
52;Терским Окружным отделом ОГПУ.
53;Нагорным РО НКВД
54;(27.12.1930)
55;органами ОГПУ.
56;РО НКВД КБАССР
57;ОГПУ КБАО.
58;постановлением Народной милиции Катханова
59;Урванским РО НКВД КБАССР.
60;УГБ УНКВД КБАССР.
61;(19.11.1931)
62;УРКМ НКВД КБАССР.
63;(29.08.1930) ОГПУ.
64;УГБ УНКВД КБАО.
65;УНКВД.
66;Прималкинским РО НКВД.
67;(25.10.1930)
68;(24.12.1931)
69;ОО КБОО ОГПУ
70;(28.07.1930) КБО ОГПУ.
71;Черекским РО НКВД.
72;УГБ НКВД КБАССР.
73;(4.12.1931)
74;РО НКВД КБАССР.
75;арестован Управлением КГБ при СМ СССР по Новосибирской области
76;Каб-Балк. Отделом ОГПУ.
77;органами ОГПУ КБАО.
78;отделом УГБ УНКВД КБАССР.
79;ОГПУ КБАССР
80;Чегемским РО НКВД КБАССР
81;(18.07.1928)
82;Терским РО НКВД КБАССР
83;(8.04.1932) КБ ОО ОГПУ
84;УГБ УНКВД по КБАО.
85;Урванским РО НКВД КБАССР
86;(9.01.1931) КБ ОО ОГПУ.
87;НКВД КБАСС.
88;Кабардино-Балкарским отделом ОГПУ.
89;ОД ТО ГУГБ НКВД ст. Прохладная.
90;УГБ НКВД КБАССР
91;Кабардино-Балкарским ОГПУ.
92;ОДТО НКВД, ст. Прохладная.
93;НКВД КАССР
94;Урванским РО НКВД
95;РК милиции УНКВД КБАО без указания статьи.
96;НКВД КБАО.
97;Сельсоветом с. Кызбурун-2
98;КБОО ОГПУ
99;КБО Отделом ОГПУ
100;в г. Нуха.
101;Нагорным РОМ НКВД.
102;Нагорным райотделом НКВД.
103;райотделом НКВД КБАССР
104;ОУР УРКМ НКВД КБАССР
105;(3.04.1931, 16.04.1931)
106;Кабардино-Балкарским областным отделом ОГПУ.
107;Чегемским РО НКВД.
108;Кабардино-Балкарским управлением НКВД.
109;Курпским РОМ НКВД КАССР
110;(7.09.1931) ОГПУ
111;КБ 00 ОГПУ.
112;постановлением Народной милиции Катханова.
113;Нагорным РО НКВД КБАССР
114;УНКВД КБАССР
115;Галашкинским Ро НКВД.
116;постановлением СПО КБОО ОГПУ.
117;(10.03.1928)
118;постановлением начальника Черекского РО НКВД.
119;ОГПУ КБО.
120;Урванского РО НКВД.
121;Нальчикским РО НКВД.
122;Чегемского РО НКВД КБАССР
123;Черекским РО НКВД КБАССР
124;Баксанского РО НКВД.
125;(18.04.1937)
126;КРО ОГПУ КБАО.
127;ОО КБОО ОГПУ.
128;Эльбрусским РО НКВД.
129;в г. Киеве, куда был командирован на учебу.
130;РО НКВД.
131;постановлением НКВД КБАССР
132;КБ УНКВД.
133;(5.09.1931)
134;Окружным отделом ОГПУ.
135;ОДТО ГУ ГБ НКВД ст. Прохладная.
136;Прималкинским РО НКВД КБАССР
137;КРО УНКВД по КБАССР
138;Сталинградским Оперсектором ОГПУ.
139;ОДТ ОГУГБ НКВД ст. Прохладная.
140;ДТО ГУГБ Орджоникидзевской железной дороги.
141;Эльбрусским Ро НКВД КБАССР
142;органами ОГПУ КБАССР
143;в г. Нуха НКВД Азербайджана.
144;постановлением ОО КБОО ОГПУ
145;постановлением Нагорного РО НКВД КБАССР
146;ОДТО ГУГБ НКВД Прохладная.
147;в Москве
148;постановлением Черекского РО НКВД.
149;ОГПУ КБО
150;1-м Отделением ЭКУ НКВД КБАССР
151;Прохладненским ОДТ ОГУГБ НКВД.
152;ЭКО УНКВД КБАО.
153;органами УНКВД КБАССР
154;уполномоченным ТОО ОГПУ.
155;под следствием.
156;Курпским РО НКВД.
157;постановлением УГБ НКВД КБАССР
158;УРКМ ОУР НКВД КБАССР
159;ордером НКВД КБАССР
160;ООУГБУ НКВД по КБАССР
161;УНКВД по КБАО.
162;ОО ГУГБ НКВД при Терско-Ставропольской казачьей дивизии
163;постановлением Прималкинского РО НКВД КБАССР
164;ОДТО ОГПУ Владикавказ.
165;РО ДТО ОГПУ.
166;постановлением ОГПУ.
167;УГБ УНКВД по КБАССР
168;ОДТО ГУКБ Прохладная
169;НКВД КБАО по ст. 58-11 и 58-8 УК РСФСР
170;НКГБ КБАССР
171;опергруппой Чегемского р-на НКВД КБАССР
172;ВОО ОГПУ.
173;УРКМ УНКВД КБАССР
174;Терским ОО ОГПУ.
175;8.10.1929г. и 16.11.1929г. ОГПУ.
176;постановлением ОО ОГПУ.
177;Кубанским РО НКВД.
178;постановлением НКВД Баксанского р-на.
179;оганами НКВД.
180;Кубинским РО НКВД.
181;постановлением Лескенского РО НКВД КБАССР
182;(22.11.1934) УГБ УНКВД КБАО.
183;УГРО отдела железнодорожной милиции.
184;(22.08.1930) ОГПУ.
185;(11.07.1930) ОГПУ.
186;Нальчикским РОМ НКВД КБАССР
187;РО НКВД Эльбрусского р-на, КБАССР
188;Эльбрусским РО НКВД НКВД КБАССР
189;(3.09.1931) НКВД КБАССР
190;(31.08.1931) НКВД КБАССР
191;УНКВД по КБАССР
192;ОДТО ГУГБ НКВД.
193;РО НКВД Терского р-на
194;опергруппой Эльбрусского р-на.
195;постановлением УРКМ УНКВД по КБАО
196;ОДТО ГУГБ НКВД ст. Прохладная
197;Курпским РОМ НКВД.
198;ОГПУ г. Пятигорска.
199;РО НКВД
200;Терским отделом ОГПУ.
201;Черекским РО НКВД
202;постановлением УРКМ УНКВД по КБАССР
203;Лескенским РО НКВД.
204;Курпским РОМ НКВД
205;Прималкинским РО НКВД
206;КБАО УНКВД.
207;(20.12.1931)
208;по ордеру №35 Прималкинского РО НКВД
209;(10.08.1930) КБОО ОГПУ.
210;ОО ОГПУ
211;УГБ УНКВД КБАССР
212;постановлением Баксанского РО НКВД
213;ГУГБ НКВД г. Прохладного.
214;ООО ОГПУ.
215;УГБ УНКВД.
216;ОДТО ГУГБ НКВД ст. Прохладная.
217;(22.08.1930)
218;(6.09.1930)
219;(1.12.1937) НКВД КБАССР
220;ОО УГБ УНК ВД СКК.
221;НКВД Азербайджана.
222;постановленим НКВД КБАССР
223;постановлением СПО КБОО ОГПУ
224;КБАО ОГПУ.
225;постановлением ОУГБ УНКВД КБАССР
226;оперуполномоченным ООУГБ УНКВД
227;постановлением ОГПУ КБАО.
228;Курпским РО НКВД КБАССР
229;ОДТО ГУГБ НКВД станции Прохладная.
230;Нальчикским Ревкомом
231;Нальчикским Ревкомом.
232;Терским отделением ОГПУ
233;отделом ОГПУ.
234;Баксанским РОМ НКВД КБАССР
235;РО Баксанского р-на.
236;НКВД по Орджоникидзевскому краю.
237;ОО УГБ УНКВД.
238;по арестному листу № 235 Особого отдела при реввоенсовете 11 Красной Армии
239;КБАО УНКВД. О
240;Чегемским НКВД.
241;опергруппой НКВД КБАССР
242;постановлением особого отдела Терской области.
243;НКВД КБАССР Прохладненским РО.
244;Прималкинским РОМ НКВД.
245;ОУРУРК КБАССР
246;(4.11.1931)
247;Баксанским РО НКВД КБАССР
248;РО НКВД Баксанского района.
249;ОГПУ по Баксанскому р-ну.
250;постановлением начальника Черекского РО НКВД КБАССР
251;Чегемским НКВД КБАССР
252;(21.07.1930) КБО ОГПУ.
253;Терским РОМ НКВД.
254;постановлением оперуполномоченного ОДТО ГУГБ НКВД ст. Прохладная
255;(19.06.1938)
256;ОДТО ГУГБ НКВД ст. Прохладной.
257;(12.05.1933)
258;Прималкинским РОМ НКВД КБАССР
259;ОДТО ГУГБ ст. Прохладная.
260;постановлением Тройки НКВД КБАССР
261;ОПТО УГБ ст. Прохладная.
262;ОГПУ в ЛВО г. Ленинграда.
263;Моздокским РО НКВД
264;постановлением Терского областного ЧК
265;ОДТ ГУГБ НКВД ст. Прохладная.
266;(16.05.1933)
267;(10.11.1930)
268;ОГПУ ст. Прохладная.
269;постановлением Терской областной ЧК
270;2- отделением УГБ НКВД КБАССР
271;постановлением ОТДТО ГУГБНКВД ст. Прохладная.
272;постановлением Майского РО НКВД
273;постановлением ОО УГБ НКВД.
274;Владикавказской Областной Чрезвычайной Комиссией.
275;органами НКВД ОГПУ
276;отделом ОГПУ
277;Через 4 дня после освобождения из заключения
278;постановлением Особого отдела Терской области
279;НКВД Таджикистана.
280;(25.07.1936)
281;УГБ НКВД Кара-Калпакской АССР и этапирован в НКВД г. Нальчика.
282;Дорожно-транспортным отделом НКВД.
283;постановлением Черекского РО НКВД
284;в г. Киеве.
285;Прохладненским РО НКВД КБАССР
