ARESTTYPEID;ARESTTYPE
0;
1;Арестован, с
2;Обвинение предъявлено
3;Арестован не был.
4;подписка о невыезде.
5;Взята подписка о невыезде
6;Задержан
7;предъявлено обвинение
8;Уголовное дело возбуждено
9;привлечен к уголовной ответственности
10;*****
11;взята подписка о невыезде.
12;Объявлен в розыск.
13;взята подписка о невыезде. Предъявлено обвинение по ст. 58-10 ч.1.
14;Содержался в окружной псих. лечебнице с
15;взята подписка о невыезде. Предъявлено обвинение по ст. 58-11.
16;Привлечен к ответственности
17;возбуждено дело
18;объявлен в розыск
19;дело приостановлено в связи с побегом, объявлен в розыск.
20;Привлечен к ответственности за антиколхозную деятельность и провокационные слухи
21;был арестован
22;Арестован третий раз
23;возбуждено уголовное дело
24;дело принято к производству
25;заочно объявлен вне закона.
26;привлекался к ответственности
27;арестовывался
28;привлечена к ответственности
29;подписка о невыезде
30;привлечен в качестве обвиняемого
31;Не арестован.
32;допрошен в качестве подозреваемого
33;допрошен в качестве подозреваемого.
34;Не арестована.
35;допрашивался в качестве обвиняемого.
36;допрашивалась в качестве подозреваемой.
37;объявлен розыск.
38;предъявлено обвинение.
39;выписан ордер на арест.
40;Находится в розыске.
41;объявлен розыск
42;Задержана
43;Аресту не подвергался.
44;Дело возбуждено
45;Привлекался
46;Арестован:
47;привлечена
48;Находился в розыске
49;точных данных о дате ареста нет
50;задержан при побеге
51;Арестован по "Академическому делу"
52;находился под подпиской
53;Ареста не было, находился в лазарете.
54;привлекался к уголовной ответственности
55;привлекалась к уголовной ответственности
56;Не арестовывался, находился в лазарете.
57;Мера пресечения не избиралась.
58;аресту не подвергался
59;Аресту не подвергалась
60;Не арестовывался
61;Постановление об аресте
62;Санкция на арест
63;Арестоваан
64;Привлечена к следствию
65;Привлечен к следствию
66;взят в плен в с. Мокроусово.
67;Предъявлено новое обвинение
68;задержан заградотрядом
69;Содержался в Челябинской тюрьме особого назначения.
70;Этапирован в Москву летом 1937
71;Доставлен в Москву
72;Этапирован в Москву
73;доставлен в Москву во Внутреннюю тюрьму особого назначения НКВД СССР.
74;Доставлен в Москву в Бутырскую тюрьму
75;Этапирован в Москву во Внутреннюю тюрьму НКВД СССР
76;Арестован в
77;Доставлен в Москву в Лефортовскую тюрьму
78;Доставлена в Москву
79;предъявлено новое обвинение.
80;Доставлена в Москву в Бутырскую тюрьму
81;этапирован в Москву в нач. 1938
82;этапирован в Москву.
83;дело принято к производству.
84;Ссылку отбывал в Семипалатинске.
85;надзор по месту жительства
86;Арестов
87;арестов.
88;арестован Новониколаевской уездной ЧК
89;дело вновь возбуждено
90;был под следствием с
91;привлечен к уголовной ответственности.
92;Арестована
93;арестован
94;аресто-вана
95;Арестован
96;подп.о невыезде
97;в розыске
98;Не арестовывалась
