EDUCATIONID;EDUCATION
0;
1;низшее
2;2 класса
3;7 классов
4;6 классов
5;3 класса
6;неграмотн
7;4 класса
8;8 классов
9;5 классов
10;среднее
11;малограмот
12;начальное
13;9 классов
14;н/среднее
15;1 класс
16;высшее
17;10 классов
18;средн.спец
19;н/высшее
20;неграмотный
21;грамотный
22;малограмотный
23;грамотный по-тибетски, грамотный по-монгольски
24;среднее по-тибетски
25;грамотный по-тибетски
26;высшее, духовное
27;грамотный по-монгольски
28;малограмотный по-монгольски
29;незаконченное высшее
30;высшее тибетское
31;грамотный по-тибетски, малограмотный по-монгольски
32;среднее духовное, грамотный по-тибетски
33;грамотный по-монгольски, грамотный по-тибетски
34;среднее духовное
35;малограмотный по-монгольски, грамотный по-тибетски
36;среднее по-монгольски, спец. ламское
37;среднее по-монгольски, среднее по-тибетски
38;среднее специальное
39;духовное
40;высшее политическое
41;незаконченное среднее
42;грамотный по-латински
43;неграмотная
44;без образования
45;окончил Горскую школу
46;среднее духовное арабское образование
47;образование среднее, окончил Ленинский учебный городок г. Нальчика
48;малограмотный, по арабски грамотен
49;образование-высшее
50;образование 7 классов
51;среднее образование
52;неграмотный.
53;неграмотный (малограмотный)
54;грамотен по арабски
55;начальное образование
56;малограмотный.
57;малограмотный, учился в Египте
58;среднее духовное образование
59;образование 5 классов
60;малограмонтый
61;низшее образование
62;в 1912г. окончил духовную семинарию
63;с высшим арабским образованием.
64;не полное среднее образование
65;окончил семилетку
66;незаконченное высшее образование
67;неполное среднее образование
68;образованный (Ленинский учебный городок)
69;образование 4 класса
70;со средним образованием
71;окончил духовную школу.
72;окончил технонормировочные и физкультурные курсы.
73;высшее образование
74;окончил сельскую школу
75;образование - низшее
76;образование 6 классов
77;низшее образование.
78;неграмотныи
79;начальное образование с высшим духовным, высшее арабское образование
80;грамотен, по-арабски
81;малограмотная
82;окончил одноклассную Пришибскую школу
83;окончил сельскую школу в 1894г.
84;образование среднее
85;образование высшее
86;образование 4-класса
87;образование среднее специальное зоотехник.
88;образование начальное.
89;образование 5 классов Реального училища
90;арабское духовное образование
91;высшее образование.
92;грамотный.
93;образование среднее-техническое, окончил политтехникум путей сообщения
94;образование-начальное
95;грамотен, окончил земско- сельскую школу
96;среднее специальное образование, окончил артшколу
97;малограмотнй
98;грамотный, окончил юнкерскую школу
99;незаконченное среднее образование
100;окончил 2 класса городского училища
101;образование - 5 классов реального училища
102;образование-низшее
103;4-х классное образование
104;без образования.
105;в 1903г. окончил 6 классов Харьковского реального училища
106;окончил совпартшколу Ленинского партийного учебного городка в г. Нальчике (1927-1930гг.) и газетное отделение Комвуза в г. Ростове-на-Дону (1930-1933.)
107;высшее образование, окончила КУТВ (Коммунистический университет трудящихся востока им. Сталина в г. Москве)
108;окончил совпартшколу в 1925 г. и Коммуниверситет Востока в 1927 г.
109;окончил медресе.
110;среднее специальное образование
111;малограмотная.
112;образование 3 класса
113;образование низшее (4 класса)
114;в 1915 г. окончил реальное училище в г. Владикавказе
115;среднее специальное образование, окончил 6 классов городского училища в Ставрополе и музыкальный класс консерватории
116;низшее, образование
117;грамотный по арабски
118;среднее образование(9кл.)
